Kp,Kd,episode,reward,mse,mae,control_cost,Max_error,final_error,settling_time,terminated,truncated,target,final_x,final_xdot
0.0,0.0,0,-155.08112796853405,0.31020520860757794,0.5011942411776544,0.0,0.7900495529174805,0.7676100134849548,500,False,True,0.0,-0.77504593,-0.7435909
0.0,0.0,1,-0.016039828343004367,0.003205482051749961,0.056616801768541336,0.0,0.05674715340137482,0.05666083097457886,5,True,False,0.0,-0.056466293,0.019453747
0.0,0.0,2,-4.86797347429982,0.009730627973105503,0.0887454232603195,0.0,0.13958756625652313,0.11532551795244217,500,False,True,0.0,0.11177936,-0.35461602
0.0,0.0,3,-53.19787359293029,0.10640394185045753,0.293550398362102,0.0,0.46275049448013306,0.45506757497787476,500,False,True,0.0,0.45830196,0.323437
0.0,0.0,4,-215.87148740946265,0.4317249555810127,0.5912878917552298,0.0,0.9321661591529846,0.9295244216918945,500,False,True,0.0,0.9317016,0.21771885
0.0,0.0,5,-48.73452986346526,0.09745912659424068,0.28093296313460453,0.0,0.4428814947605133,0.44278812408447266,500,False,True,0.0,-0.44276503,0.0023084658
0.0,0.0,6,-25.841677732477102,0.05170154752402841,0.20458838865283177,0.0,0.3223218321800232,0.28930649161338806,500,False,True,0.0,0.29523897,0.59324545
0.0,0.0,7,-239.13528180829684,0.4782391239277012,0.6223366576712469,0.0,0.9810886383056641,0.9796823263168335,500,False,True,0.0,0.9810439,0.13615513
0.0,0.0,8,-14.117352502239747,0.028228609603884975,0.15119482486729977,0.0,0.23831386864185333,0.2374172806739807,500,False,True,0.0,0.2362882,-0.1129089
0.0,0.0,9,-84.55234354913942,0.1691269622629558,0.370079101818963,0.0,0.5833671689033508,0.56765216588974,500,False,True,0.0,-0.5729864,-0.53342557
0.0,0.0,10,-0.05643799251834046,0.0011568008042402273,0.0293952591119606,0.0,0.05739827826619148,0.05739827826619148,47,True,False,0.0,-0.057893563,-0.049528748
0.0,0.0,11,-0.03523596838439955,0.0012119824318522288,0.03225251947771068,0.0,0.05008862540125847,0.05008862540125847,27,True,False,0.0,-0.050691914,-0.06032913
0.0,0.0,12,-150.51740901838994,0.3010819012430707,0.4937725238492712,0.0,0.7783212065696716,0.7530240416526794,500,False,True,0.0,0.7609045,0.7880472
0.0,0.0,13,-187.86156875878066,0.37572998965371585,0.5516235566399992,0.0,0.8696057796478271,0.8623468279838562,500,False,True,0.0,-0.86642396,-0.40771812
0.0,0.0,14,-7.450130929656954,0.014907680350194338,0.10984579736439627,0.0,0.17288842797279358,0.13530491292476654,500,False,True,0.0,0.13987797,0.45730716
0.0,0.0,15,-24.33485638297663,0.048681274966219094,0.19853792698972392,0.0,0.31290489435195923,0.295614093542099,500,False,True,0.0,-0.2998135,-0.41993955
0.0,0.0,16,-247.46038327714547,0.4949295931408539,0.6331049493338796,0.0,0.9980602860450745,0.9897744655609131,500,False,True,0.0,0.99443823,0.4663727
0.0,0.0,17,-210.41133161737133,0.4207957293730242,0.5837648999330122,0.0,0.920286238193512,0.9188857674598694,500,False,True,0.0,-0.9202261,-0.13403219
0.0,0.0,18,-206.23348336447282,0.412516925314551,0.5779934683013708,0.0,0.9110921621322632,0.8885685205459595,500,False,True,0.0,0.8965174,0.7948834
0.0,0.0,19,-10.71550486541787,0.02143469369970665,0.1317493162851315,0.0,0.20766432583332062,0.20012597739696503,500,False,True,0.0,0.20235732,0.22313458
0.0,0.0,20,-107.6704641038807,0.21538692416633545,0.417633129063528,0.0,0.6582157611846924,0.6267746090888977,500,False,True,0.0,-0.6349585,-0.8183934
0.0,0.0,21,-189.5683890915885,0.37917188130762564,0.5541234056067187,0.0,0.8735307455062866,0.8566942811012268,500,False,True,0.0,-0.86333346,-0.66392034
